"","DIS","CMCSA","TWX","SNE","FOXA","VIAB"
"2012-12-13",46.98065,34.627246,41.87889,10.73,21.157332,49.207043
"2012-12-14",46.559725,34.252291,41.950646,10.96,20.968586,48.884224
"2012-12-17",47.143277,35.189683,43.00009,11,21.500518,49.234716
"2012-12-18",48.042522,35.667751,43.188448,11.12,21.869443,49.622098
"2012-12-19",47.77466,35.630255,42.730996,10.97,21.646376,49.271607
"2012-12-20",48.721736,35.705248,43.28711,11.13,21.809383,49.336174
"2012-12-21",47.83206,34.89909,42.668214,10.93,21.406146,48.967235
"2012-12-24",47.717264,35.020952,42.560581,10.91,21.57773,49.031799
"2012-12-26",47.688562,34.964707,42.587486,11.11,21.371824,48.598296
"2012-12-27",47.382437,34.674118,42.533665,11.04,21.354663,48.524511
"2012-12-28",47.018916,34.403894,42.094163,11.01,21.114433,47.924986
"2012-12-31",47.631166,35.175957,42.901421,11.2,21.886604,48.644416
"2013-01-02",48.884364,36.268144,44.632545,11.51,22.830362,51.660477
"2013-01-03",48.989595,35.863282,44.650489,11.49,22.530072,52.066311
"2013-01-04",49.927103,35.84445,44.282733,11.14,22.735978,53.043993
"2013-01-07",48.760003,35.68439,44.058498,10.97,22.478598,51.918736
"2013-01-08",48.559106,35.929189,44.982364,10.72,22.418538,52.610494
"2013-01-09",48.578239,36.173988,44.51594,10.74,22.641605,53.311474
"2013-01-10",48.587807,36.249313,44.677393,11.05,23.139227,53.957115
"2013-01-11",48.386914,36.211651,44.498007,11.09,23.104903,53.293027
"2013-01-14",48.396478,36.644758,44.219951,11.28,22.993369,53.274579
"2013-01-15",48.874799,36.908392,44.06747,11.23,23.199286,53.329921
"2013-01-16",49.29572,36.889561,44.103346,11.2,23.156388,52.730396
"2013-01-17",50.137565,37.614548,44.309648,11.91,23.568202,53.117782
"2013-01-18",50.0706,37.91584,44.785027,12.7,23.388032,53.385263
"2013-01-22",50.44369,37.482733,45.143818,13.35,23.31082,54.353723
"2013-01-23",51.610793,37.661624,45.58332,13.25,23.516726,54.418287
"2013-01-24",51.610793,37.266179,45.565387,13.52,23.216438,54.012457
"2013-01-25",52.022149,37.435653,45.206603,14.41,23.345133,54.436734
"2013-01-28",52.003016,37.256761,44.928544,15.12,23.645423,54.169254
"2013-01-29",51.64906,36.823653,44.901639,15.14,23.834177,54.196923
"2013-01-30",51.457731,36.748328,44.973392,14.99,23.937127,54.722662
"2013-01-31",51.543829,35.853868,45.314233,14.94,23.799855,55.66345
"2013-02-01",52.223043,36.343466,45.63714,15.13,24.160203,55.838698
"2013-02-04",51.562962,35.957434,45.242479,15.48,23.980024,54.55664
"2013-02-05",51.936051,36.946055,44.811942,15.83,24.323212,54.741106
"2013-02-06",52.156079,36.465867,46.650696,15.82,24.211679,54.602757
"2013-02-07",52.003016,36.362297,46.964632,15.13,23.645423,54.316829
